currency_co,open_dt,agreement_amt_rub,applied_amt_rub,month_pay_rub,term_cnt,region_name,score_day,score_hour,age,born_in_russia,gender,marital,education,child_minor,reg_fact,residence_period,work_status,website,gen_property,gen_exp,pre_exp,gen_industry,salary300,income_confirmation,flat_owner,house_owner,auto_owner,garage_owner,land_owner,account_owner,card_owner,current_credit,email_shown,work_phone_shown,home_phone_shown,current_phone_shown,mobile_phone_shown,phone_work_same,phone_reg_same,reg_state,auto_number_shown,inn_number_shown,drvlic_number_shown,pension_number_shown,UCI,OL,child_adult,previous_score,default
nom,lin,lin,lin,lin,lin,nom,nom,lin,lin,bin,bin,nom,nom,lin,bin,lin,nom,bin,nom,lin,lin,nom,lin,bin,nom,nom,nom ,bin,bin,bin,nom,bin,bin,bin,bin,bin,bin,bin,bin,nom,bin,bin,bin,bin,lin,lin,bin,lin,bin
1,733663,200000,400000,6210,60,5,4,12,44,1,0,2,1,0,1,216,2,0,1,216,0,13,23400,1,1,3,2,0,0,1,2,1,0,1,0,0,1,0,0,16,0,0,0,1,0,2500,0,47.9,0
1,733556,300000,450000,10980,48,2,5,11,27,1,0,3,1,0,1,312,3,1,5,21,0,20,30000,1,1,1,1,0,0,0,1,0,1,1,0,1,1,0,0,8,0,0,1,0,0,2000,0,36.3,0
1,733556,220874,270000,8096.394,36,2,6,11,58,1,1,2,3,0,1,252,4,0,1,7,120,10,16382.97,1,1,1,2,0,0,0,2,0,0,1,1,1,1,0,0,8,0,1,0,0,10542.35,3200,1,43.17287936,0
1,733557,219172,300000,8034,36,2,4,17,30,0,1,1,3,0,1,60,2,1,5,48,8,4,24360,1,1,1,2,0,0,1,3,0,1,1,0,0,1,0,0,9,0,0,1,0,0,2500,0,40.3,0
1,733557,250000,700000,27480,60,2,3,17,45,1,1,2,3,1,1,72,3,0,5,24,84,3,59000,2,1,2,1,1,1,0,1,0,0,1,0,0,1,0,0,9,0,0,1,0,0,7000,0,50.3,1
1,733557,150000,750000,6620,60,2,2,16,25,1,1,1,2,0,1,60,2,0,1,36,0,2,25000,1,1,1,1,0,0,1,2,0,0,1,1,1,1,0,0,8,0,0,1,0,3000,3600,0,35.15714286,0
1,733556,200000,200000,29620,60,2,3,11,43,1,1,3,2,1,0,48,3,0,6,96,0,20,105000,2,1,1,1,0,0,1,2,1,0,1,1,1,1,1,0,8,0,0,1,0,0,22000,0,49.70909091,0
1,733680,211010,230000,5590.5,60,2,5,17,33,1,0,3,3,1,1,90,2,0,2,17,11,4,22850,1,3,3,2,0,0,1,3,0,0,1,1,1,1,0,0,8,0,0,1,0,10000,11500,0,42.05066508,0
1,733659,100000,100000,11270,60,2,3,16,45,1,0,3,2,0,1,180,2,0,5,17,64,20,43000,1,3,1,1,1,0,0,1,1,0,1,1,1,1,0,0,8,0,0,1,0,0,14000,0,50.94285714,0
1,733668,200000,250000,5300,60,5,6,16,29,1,1,2,1,1,1,138,3,0,5,4,9,19,17800,1,1,1,2,0,0,1,2,1,0,1,1,1,1,0,0,11,0,0,1,0,0,3000,0,40.3,0
